,a_e,a_w,alpha_w,conservation_effectiveness,conservation_unit_cost,delta,delta_extract,e_0,eta_deplet,mu_0,mu_elite_extr,nat_res_regen,eta_w,eta_a,w_T,I_Ta,conservation_effort,R_star,phi_c,scenario,policy,model,max_radicalized,final_radicalized,wage_cost,conservation_cost,final_resource
0,3.7896866594261405,0.5083264042333576,-1.570877509671924,0.4132014265855286,16.020907613554016,0.8705261418928237,0.05865684911864357,0.012940611449920546,2.6889800659134173,0.0074094208686291945,0.3390384978542077,0.07217611504713789,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,baseline,PolicySIR,0.25881721598766444,0.021210084411609428,0.0,0.0,0.9295377606861389
1,103.0001412615405,2.938245340178244,1.648700854360989,0.509450340601591,9.650992224389046,0.6292817500079265,0.07495719775446404,0.011254702122123008,0.6599838663846641,0.0025349284186876554,0.6679648455005479,0.08053379041459158,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1,baseline,PolicySIR,0.9307478979982114,0.01598149685008297,0.0,0.0,1.9999307790321779
2,23.98040022265731,1.3580221615562758,-2.5970130308041828,0.9523424247822916,22.950423808904766,0.10470644951919732,0.06316810768995873,0.014972001957434453,1.9239043500672357,0.004136744166392141,0.7172954200333638,0.13210341405903434,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2,baseline,PolicySIR,0.08195629354440404,0.06449629330277783,0.0,0.0,1.1133054584664241
3,51.79518910347805,2.012528707520485,0.535006138966855,0.9650006394981226,23.81619372169795,0.21576841943353647,0.05634055688786983,0.02383057093776577,1.1483993127154344,0.0037303144372760515,0.5785784326143139,0.16892339868380063,0.0,0.0,0.5,0.0,0.0,0.0,0.0,3,baseline,PolicySIR,0.08195629354440404,0.06449629330277783,0.0,0.0,1.3637370509379048
4,119.33223981195074,1.8582846431724718,-2.041728976007861,0.3606010125993935,19.445827097684433,0.5016426941940711,0.048140703385762484,0.04716426249514864,0.8298120450967925,0.008259261837952503,0.6051057619611805,0.08533214102427589,0.0,0.0,0.5,0.0,0.0,0.0,0.0,4,baseline,PolicySIR,0.9528514161641249,0.9469362514016016,0.0,0.0,0.9231296741302774
5,98.07773045250157,1.2537919610364927,1.5336847768978217,0.7464555765373271,2.1064353196192545,0.7063971605321866,0.09859199689738038,0.015136300155724421,2.9750694634162738,0.003652281929280227,0.20586958011383638,0.04677627388282417,0.0,0.0,0.5,0.0,0.0,0.0,0.0,5,baseline,PolicySIR,0.9150023460423988,0.6316271221943619,0.0,0.0,0.6599080467761496
6,9.250422543043207,1.1234994013059711,-1.4714565488391884,0.6083699712842701,22.140267287502564,0.6887668536440306,0.012138974033148599,0.028697344099524836,1.93134506508145,0.005824614351573219,0.33653506598337957,0.18274504126051286,0.0,0.0,0.5,0.0,0.0,0.0,0.0,6,baseline,PolicySIR,0.08195629354440404,0.06449629330277783,0.0,0.0,1.8016082674060203
7,126.60830039436681,0.1530793358029691,0.8647208983276027,0.3428353786678877,29.06542068751252,0.863127835476996,0.060883229031011364,0.03981672330302235,1.5253571256082865,0.003556656406227205,0.4805919573102988,0.05230339100268811,0.0,0.0,0.5,0.0,0.0,0.0,0.0,7,baseline,PolicySIR,0.8762611593894769,0.38458515154341827,0.0,0.0,0.5444203162662988
8,106.26232477723296,1.548121474160922,0.809695653353947,0.41529175846933686,6.985401674034145,0.6169380344918455,0.04970115701343047,0.03569772504460225,1.089600050406078,0.008832007596244425,0.7990883263698118,0.11345262274992338,0.0,0.0,0.5,0.0,0.0,0.0,0.0,8,baseline,PolicySIR,0.08195629354440404,0.06449629330277783,0.0,0.0,1.1754514322262402
9,87.16278753466054,1.5172044603261174,-2.7576107426603453,0.768367306553602,11.439968629091775,0.7419095700928369,0.039586201697226577,0.033297628124346355,2.035859455871169,0.00543518455455062,0.7441432540213162,0.13379250356853695,0.0,0.0,0.5,0.0,0.0,0.0,0.0,9,baseline,PolicySIR,0.08195629354440404,0.06449629330277783,0.0,0.0,1.3186549954264162
10,137.23090719614657,1.90217564205293,2.9276753281142405,0.23348951039104573,13.228932669037247,0.511861816669002,0.07751959740077749,0.023133229644772088,1.1279400837090567,0.008361799626354714,0.12305417447723499,0.049068843089644494,0.0,0.0,0.5,0.0,0.0,0.0,0.0,10,baseline,PolicySIR,0.9553358501146049,0.014601224901763134,0.0,0.0,0.14026414449979513
